QID,A1,A2,A3,A4,A5,A6,A7,A8,A16,A17,A18
290,28,vocational,central,1,1,10000,yes i know,yes,willing if have money,willing if have money,willing if have money
13,25,lowersec,northeast,15,12,15000,yes i know,yes,willing if have money,willing if have money,willing
104,30,primary,northeast,72,17,5000,yes i know,yes,willing,willing,willing
284,32,primary,northern,4,4,10000,yes i know,no,willing,willing,willing
265,32,uppersec,northern,8,8,10000,yes i know,yes,willing,willing,willing
90,29,primary,northeast,60,22,6000,no,,not willing,not willing,willing
276,26,uppersec,northeast,2,2,30000,yes i know,yes,willing,not willing,not willing
210,22,lowersec,northeast,2,2,1000,no,,willing if have money,willing if have money,willing if have money
55,19,uppersec,southern,7,6,5000,no,,willing,willing,willing
54,32,lowersec,southern,24,6,5000,no,,willing if have money,willing if have money,willing
220,35,lowersec,southern,106,888,8000,yes i know,yes,willing,willing,willing
30,32,primary,not answer,16,16,5000,yes i know,yes,willing if have money,willing if have money,willing if have money
253,28,lowersec,northeast,1,1,2000,no,,willing,willing,willing
217,39,uppersec,northern,3,3,3000,yes i know,yes,willing,willing if have money,willing
264,32,uppersec,northern,12,12,10000,yes i know,yes,willing,not sure,willing
292,31,primary,northeast,1,1,88888,no,,willing,willing if have money,willing
315,34,lowersec,northern,36,24,10000,yes i know,yes,willing,willing if have money,willing
213,39,uppersec,northern,120,36,30000,yes i know,yes,willing,willing if have money,willing
299,30,uppersec,central,36,0,15000,yes i know,yes,willing if have money,willing if have money,willing
243,33,primary,northeast,1,1,99999,no,,willing,willing,willing
233,34,lowersec,northern,25,18,3000,yes i know,yes,willing,willing,willing
318,28,uppersec,northern,2,888,50000,yes i know,yes,willing,willing,willing
72,25,uppersec,southern,51,6,5000,no,,not answer,not answer,willing
312,24,uppersec,central,96,10,4000,yes i know,no,willing,willing if have money,willing
119,22,not answer,northeast,72,36,99999,yes i know,no,willing,willing,willing
18,40,lowersec,northeast,12,12,88888,yes i know,yes,willing,willing if have money,willing
205,28,primary,northeast,12,12,0,yes i know,yes,willing if have money,not sure,not sure
48,23,vocational,northeast,3,3,10000,yes i know,no,willing if have money,willing if have money,willing
175,25,lowersec,northeast,24,24,88888,yes i know,yes,willing,willing if have money,willing
234,28,primary,northeast,15,15,10000,yes but no one told,yes,willing if have money,willing if have money,willing if have money
87,26,uppersec,southern,60,60,5000,yes i know,yes,willing,willing if have money,willing
298,22,primary,southern,26,26,10000,yes i know,no,willing,willing,willing
1,21,lowersec,northeast,9,9,15000,yes i know,no,willing if have money,willing if have money,willing if have money
306,22,primary,northeast,53,53,99999,yes i know,yes,willing,willing,willing
232,24,lowersec,northern,6,6,4000,no,,willing,willing,willing
164,24,primary,northeast,67,60,6000,no,,willing,willing,willing
266,23,lowersec,northern,22,22,15000,yes i know,yes,willing,willing,willing
129,28,primary,northeast,1,1,88888,no,,not sure,not sure,not sure
194,33,vocational,central,1,1,88888,no,,willing,willing if have money,willing if have money
65,20,lowersec,northeast,108,1,7000,no,,willing if have money,not sure,willing
150,24,vocational,southern,70,12,5000,yes i know,no,willing if have money,willing if have money,willing if have money
22,26,lowersec,central,1,1,3000,no,,willing if have money,willing if have money,willing if have money
2,30,primary,southern,60,48,6000,yes i know,yes,willing if have money,willing if have money,willing
117,26,vocational,northeast,36,36,5000,yes but no one told,no,willing if have money,willing if have money,willing if have money
231,20,lowersec,northern,1,1,5000,no,,willing,not sure,willing
16,19,lowersec,southern,3,12,5000,yes i know,yes,willing,willing,willing
145,31,bachelor,southern,60,25,5000,yes i know,no,willing,willing,willing
249,29,primary,northeast,4,4,2000,no,,willing,not willing,not sure
14,32,primary,northeast,3,3,6000,yes i know,yes,willing,willing,willing
148,26,vocational,northern,13,13,7200,no,,willing if have money,willing if have money,willing if have money
277,23,vocational,northeast,2,2,35000,yes i know,yes,willing,willing,willing
38,28,lowersec,northeast,3,3,5000,yes i know,yes,willing,willing,willing
153,25,lowersec,northeast,2,2,5000,yes i know,yes,willing,willing,willing
242,36,lowersec,northeast,12,12,99999,yes i know,yes,willing,willing,willing
225,31,lowersec,central,5,5,3000,yes i know,yes,willing,willing if have money,willing
10,20,lowersec,southern,18,18,6000,yes i know,yes,willing,willing,willing
172,32,lowersec,northeast,9,9,10000,yes i know,yes,willing,willing if have money,willing
102,28,lowersec,southern,6,6,6000,yes i know,yes,willing,willing,willing
218,32,lowersec,northern,12,12,20000,yes i know,yes,willing,willing,willing
79,21,uppersec,southern,36,36,7000,yes i know,no,willing,willing,willing
282,27,uppersec,northern,1,9,5000,yes i know,yes,willing,willing if have money,willing
281,32,lowersec,northeast,1,1,3000,no,no,willing,willing,willing
7,36,lowersec,northeast,120,36,5000,yes i know,yes,willing,willing,willing
5,27,primary,central,36,36,10000,yes i know,yes,willing if have money,willing if have money,willing if have money
285,20,lowersec,northeast,1,1,5000,no,,willing,willing,willing
92,26,vocational,northeast,24,12,30000,yes i know,yes,willing,willing,willing
73,21,lowersec,northeast,4,4,7000,no,,willing,not sure,willing
230,20,primary,northern,3,3,20000,no,,willing if have money,willing if have money,willing
173,23,primary,northern,2,2,8000,yes i know,no,willing,willing,willing
167,24,lowersec,northeast,5,5,5000,no,,willing if have money,willing if have money,willing
214,27,vocational,northern,1,1,3000,yes i know,yes,willing if have money,willing if have money,willing
95,27,primary,central,24,24,30000,yes i know,yes,willing,willing,willing
41,23,uppersec,northern,87,20,5000,no,,willing,willing,willing
115,18,primary,southern,14,14,10000,yes i know,yes,willing if have money,willing if have money,willing
75,24,vocational,southern,31,6,7000,no,,willing if have money,willing if have money,willing
86,22,lowersec,southern,72,50,5000,yes i know,no,willing if have money,willing if have money,willing
269,24,vocational,northern,10,10,10000,yes i know,yes,willing if have money,willing if have money,willing
121,23,uppersec,central,12,12,5000,no,,willing,willing,willing
107,34,lowersec,northeast,3,3,4000,no,,willing,not sure,willing
283,31,primary,northern,0,0,99999,yes i know,yes,not sure,not sure,not sure
127,43,primary,northeast,72,72,5000,yes i know,yes,willing,willing,willing
